Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent women,Percent men,Percent boys,Percent girls,Percent males,Percent children,Captive deaths during crossing,Percentage of captives who died during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)","Voyage dates that began (depb,a,c)",Crew deaths during voyage
1793,,Bance/Bunce Island,"St. Kitts, port unspecified",58,55,0,1,0,0,1,0,3,"0,05",,,",,1793",
1803,London,"Africa, port unspecified",Havana,82,68,"0,04545","0,95455",0,0,"0,95455",0,,,,,"10,05,1802",
1797,Liverpool,Congo River,Demerara,363,352,"0,40057","0,59943",0,0,"0,59943",0,,,,147,"04,06,1797",3
1715,London,Jacquin,"Barbados, place unspecified",260,220,"0,42282","0,57718",0,0,"0,57718",0,,,77,298,"03,27,1714",
1723,London,Gambia,Charleston,221,192,"0,20814","0,79186",0,0,"0,79186",0,29,"0,13",67,209,"12,14,1722",
1706,Hellevoetsluis,Elmina,Curaçao,190,177,"0,33684","0,66316",0,0,"0,66316",0,13,"0,07",82,898,"06,15,1704",
1641,"Pernambuco, place unspecified",Ardra,"Pernambuco, place unspecified",316,265,"0,41036","0,58964",0,0,"0,58964",0,51,"0,16",,,,
1642,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",78,77,"0,71111","0,28889",0,0,"0,28889",0,,,30,269,"05,30,1641",
1664,Texel,Loango,New York,421,348,"0,46667","0,53333",0,0,"0,53333",0,,,,231,"11,20,1663",
1748,Rio de Janeiro,Luanda,Rio de Janeiro,252,225,,,,,,0,,,,,,
1758,Rio de Janeiro,Luanda,Rio de Janeiro,291,266,,,,,,0,,,,,,
1758,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,562,505,,,,,,0,,,,,,
1758,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",229,214,,,,,,0,,,,,,
1762,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,180,159,,,,,,0,,,,,,
1763,Rio de Janeiro,Luanda,Rio de Janeiro,270,252,,,,,,0,,,,,,
1764,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,84,76,,,,,,0,,,,,,
1766,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,385,341,,,,,,0,,,,,,
1767,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,463,416,,,,,,0,,,,,,
1767,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,350,310,,,,,,0,,,,,,
1767,Rio de Janeiro,Luanda,Rio de Janeiro,300,281,,,,,,0,,,,,,
1767,Rio de Janeiro,Luanda,Rio de Janeiro,367,325,,,,,,0,,,,,,
1769,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",258,241,,,,,,0,,,,,"01,19,1769",
1769,Rio de Janeiro,Luanda,Rio de Janeiro,365,323,,,,,,0,,,,,,
1771,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",344,322,,,,,,0,,,,,"02,01,1771",
1663,,Ardra,"Barbados, place unspecified",373,150,"0,64667","0,35333",0,0,"0,35333",0,223,"0,6",,,"12,,1662",
1664,London,New Calabar,"Barbados, place unspecified",209,145,"0,42754","0,57246",0,0,"0,57246",0,,,,,"06,02,1663",
1664,,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, place unspecified",280,194,"0,57732","0,42268",0,0,"0,42268",0,,,,,"06,23,1663",
1685,London,Cape Coast Castle,"Jamaica, place unspecified",310,242,"0,59917","0,40083",0,0,"0,40083",0,,,98,331,"06,23,1684",
1675,London,"Africa, port unspecified","Barbados, place unspecified",91,73,"0,26027","0,73973",0,0,"0,73973",0,,,,,,
1693,London,Sherbro,Saint John (Antigua),111,86,"0,2093","0,7907",0,0,"0,7907",0,25,"0,23",91,539,"02,09,1692",
1700,"Barbados, place unspecified",Gambia,Newcastle (Nevis),52,46,"0,51111","0,48889",0,0,"0,48889",0,,,,,,
1709,London,"Africa, port unspecified",Newcastle (Nevis),65,52,"0,38462","0,61538",0,0,"0,61538",0,,,,307,"07,13,1708",
1689,London,Gambia,"Montserrat, port unspecified",300,253,"0,08696","0,91304",0,0,"0,91304",0,47,"0,16",49,202,"03,19,1689",
1687,London,Gambia,Saint John (Antigua),110,80,"0,15455","0,84545",0,0,"0,84545",0,,,76,,,
1686,London,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Newcastle (Nevis),180,125,"0,45349","0,54651",0,0,"0,54651",0,,,,233,"10,17,1685",
1682,London,Gambia,"Barbados, place unspecified",200,180,"0,33721","0,66279",0,0,"0,66279",0,20,"0,1",33,,,
1679,London,Cape Coast Castle,"Barbados, place unspecified",51,40,"0,325","0,675",0,0,"0,675",0,,,,,,
1679,London,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",223,176,"0,55814","0,44186",0,0,"0,44186",0,47,"0,21",85,370,"08,11,1678",
1678,London,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",283,245,"0,3871","0,6129",0,0,"0,6129",0,,,,,"07,,1677",
1688,Texel,Ardra,Curaçao,482,406,"0,31535","0,68465",0,0,"0,68465",0,,,,,"11,16,1687",
1687,Texel,Ardra,Curaçao,525,443,"0,26476","0,73524",0,0,"0,73524",0,,,,,"08,,1686",
1800,Rio de Janeiro,Luanda,Rio de Janeiro,454,416,,,,,,0,38,"0,08",52,,,
1801,Rio de Janeiro,Luanda,Rio de Janeiro,601,589,,,,,,0,12,"0,02",44,,,
1803,Oporto,Luanda,Rio de Janeiro,528,471,,,,,,0,57,"0,11",46,,,
1804,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,219,213,,,,,,0,6,"0,03",47,,,
1805,Rio de Janeiro,Luanda,Rio de Janeiro,514,483,,,,,,0,31,"0,06",50,,,
1805,Rio de Janeiro,Luanda,Rio de Janeiro,631,576,,,,,,0,55,"0,09",55,269,"03,18,1805",
1806,Rio de Janeiro,Luanda,Rio de Janeiro,367,237,,,,,,0,130,"0,35",79,267,"10,02,1805",
1700,London,Alampo,Saint John (Antigua),132,92,"0,48936","0,51064",0,0,"0,51064",0,,,,,"03,,1700",
1805,,"Africa, port unspecified",Havana,172,149,"0,00671","0,99329",0,0,"0,99329",0,,,,,,
1819,Havana,Ambriz,Havana,274,248,"0,42742","0,57258",0,0,"0,57258",0,,,,,,
1819,Havana,Luanda,Havana,396,359,"0,41504","0,58496",0,0,"0,58496",0,,,,,,
1819,Havana,Ambriz,Havana,164,149,"0,68456","0,31544",0,0,"0,31544",0,,,,,,
1819,,Luanda,Havana,241,215,"0,55349","0,44651",0,0,"0,44651",0,,,,,,
1819,,Luanda,Havana,210,190,"0,48947","0,51053",0,0,"0,51053",0,,,,,,
1819,,Luanda,Havana,219,209,"0,62201","0,37799",0,0,"0,37799",0,,,,,,
1819,,Luanda,Havana,259,224,"0,28571","0,71429",0,0,"0,71429",0,,,,,,
1819,,Luanda,Havana,82,73,1,0,0,0,0,0,,,,,,
1811,Havana,Loango,Havana,145,127,"0,13386","0,86614",0,0,"0,86614",0,,,46,186,"04,07,1811",
1819,,"Africa, port unspecified",Havana,353,336,"0,51786","0,48214",0,0,"0,48214",0,,,,,,
1819,,"Africa, port unspecified",Havana,178,161,"0,71429","0,28571",0,0,"0,28571",0,,,,,,
1682,London,Calabar,Newcastle (Nevis),160,70,"0,44286","0,55714",0,0,"0,55714",0,90,"0,56",,352,"11,06,1681",
1691,"Barbados, place unspecified",Gambia,"Barbados, place unspecified",118,104,"0,14286","0,85714",0,0,"0,85714",0,,,,281,"01,15,1691",
1678,London,New Calabar,"Virginia, port unspecified",125,87,"0,28736","0,71264",0,0,"0,71264",0,,,,,"09,,1677",
1659,Texel,Portudal,Curaçao,557,300,"0,46667","0,53333",0,0,"0,53333",0,,,,97,"08,18,1659",
1807,New York,"Africa, port unspecified",Havana,92,88,"0,47727","0,52273",0,0,"0,52273",0,,,,,,
1774,Rio de Janeiro,Luanda,Rio de Janeiro,20,19,"0,3","0,7",0,0,"0,7",0,,,,,,
1800,Rio de Janeiro,Luanda,"Bahia, place unspecified",580,531,,,,,,0,,,,,,
1801,Rio de Janeiro,Luanda,"Pernambuco, place unspecified",603,553,,,,,,0,,,,,,
1802,Rio de Janeiro,Luanda,"Bahia, place unspecified",544,493,,,,,,0,,,,,"05,12,1802",
1803,Rio de Janeiro,Luanda,Maranhão,513,465,,,,,,0,,,,,,
