Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1793,,Bance/Bunce Island,"St. Kitts, port unspecified",58,55,1,0,0,3,,
1803,London,"Africa, port unspecified",Havana,82,68,"0,95455","0,04545",0,,,
1797,Liverpool,Congo River,Demerara,363,352,"0,59943","0,40057",0,,,147
1715,London,Jacquin,"Barbados, place unspecified",260,220,"0,57718","0,42282",0,,77,298
1723,London,Gambia,Charleston,221,192,"0,79186","0,20814",0,29,67,209
1706,Hellevoetsluis,Elmina,Curaçao,190,177,"0,66316","0,33684",0,13,82,898
1641,"Pernambuco, place unspecified",Ardra,"Pernambuco, place unspecified",316,265,"0,58964","0,41036",0,51,,
1642,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",78,77,"0,28889","0,71111",0,,30,269
1664,Texel,Loango,New York,421,348,"0,53333","0,46667",0,,,231
1748,Rio de Janeiro,Luanda,Rio de Janeiro,252,225,,,0,,,
1758,Rio de Janeiro,Luanda,Rio de Janeiro,291,266,,,0,,,
1758,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,562,505,,,0,,,
1758,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",229,214,,,0,,,
1762,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,180,159,,,0,,,
1763,Rio de Janeiro,Luanda,Rio de Janeiro,270,252,,,0,,,
1764,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,84,76,,,0,,,
1766,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,385,341,,,0,,,
1767,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,463,416,,,0,,,
1767,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,350,310,,,0,,,
1767,Rio de Janeiro,Luanda,Rio de Janeiro,300,281,,,0,,,
1767,Rio de Janeiro,Luanda,Rio de Janeiro,367,325,,,0,,,
1769,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",258,241,,,0,,,
1769,Rio de Janeiro,Luanda,Rio de Janeiro,365,323,,,0,,,
1771,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",344,322,,,0,,,
1663,,Ardra,"Barbados, place unspecified",373,150,"0,35333","0,64667",0,223,,
1664,London,New Calabar,"Barbados, place unspecified",209,145,"0,57246","0,42754",0,,,
1664,,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, place unspecified",280,194,"0,42268","0,57732",0,,,
1685,London,Cape Coast Castle,"Jamaica, place unspecified",310,242,"0,40083","0,59917",0,,98,331
